route_id,lat,lng,city,state_id,zip,state_name,county_name,county_names_all,route_type,Zone Name
,29.10866,-80.97907,Port Orange,FL,32127,Florida,Volusia,Volusia,Local,Central
,29.09773,-81.07467,Port Orange,FL,32128,Florida,Volusia,Volusia,Local,Central
,29.13721,-81.02381,Port Orange,FL,32129,Florida,Volusia,Volusia,Local,Central
,29.15704,-81.34501,De Leon Springs,FL,32130,Florida,Volusia,Volusia,Local,Central
,29.67803,-81.56785,East Palatka,FL,32131,Florida,Putnam,Putnam|St. Johns,Local,Central
,28.97731,-80.92345,Edgewater,FL,32132,Florida,Volusia,Volusia,Local,Central
,29.01061,-81.92036,Eastlake Weir,FL,32133,Florida,Marion,Marion,Local,Central
,29.37177,-81.82562,Fort McCoy,FL,32134,Florida,Marion,Marion|Putnam|Lake,Local,Central
,29.45252,-81.14025,Flagler Beach,FL,32136,Florida,Flagler,Flagler|Volusia,Local,Central
,29.58057,-81.22455,Palm Coast,FL,32137,Florida,Flagler,Flagler,Local,Central
,29.37693,-81.61431,Georgetown,FL,32139,Florida,Putnam,Putnam|Volusia,Local,Central
,29.76274,-81.86306,Florahome,FL,32140,Florida,Putnam,Putnam|Clay,Local,Central
,28.92322,-80.90196,Edgewater,FL,32141,Florida,Volusia,Volusia,Local,Central
,29.67899,-81.41973,Hastings,FL,32145,Florida,St. Johns,St. Johns|Putnam,Local,Central
,29.63157,-81.79577,Hollister,FL,32147,Florida,Putnam,Putnam,Local,Central
,29.60088,-81.88191,Interlachen,FL,32148,Florida,Putnam,Putnam,Local,Central
,29.46296,-81.58165,Lake Como,FL,32157,Florida,Putnam,Putnam,Local,Central
,28.92456,-81.90528,Lady Lake,FL,32159,Florida,Lake,Lake|Sumter,Local,Central
,28.91629,-81.99374,The Villages,FL,32162,Florida,Sumter,Sumter|Marion,Local,Central
,28.81878,-81.98663,The Villages,FL,32163,Florida,Sumter,Sumter|Lake,Local,Central
,29.48316,-81.2174,Palm Coast,FL,32164,Florida,Flagler,Flagler,Local,Central
,28.98214,-81.03721,New Smyrna Beach,FL,32168,Florida,Volusia,Volusia,Local,Central
,28.97934,-80.87386,New Smyrna Beach,FL,32169,Florida,Volusia,Volusia,Local,Central
,29.28928,-81.16446,Ormond Beach,FL,32174,Florida,Volusia,Volusia|Flagler,Local,Central
,29.33216,-81.06327,Ormond Beach,FL,32176,Florida,Volusia,Volusia,Local,Central
,29.69011,-81.70565,Palatka,FL,32177,Florida,Putnam,Putnam,Local,Central
,29.09631,-81.89686,Ocklawaha,FL,32179,Florida,Marion,Marion,Local,Central
,29.23437,-81.44521,Pierson,FL,32180,Florida,Volusia,Volusia|Flagler,Local,Central
,29.50658,-81.60126,Pomona Park,FL,32181,Florida,Putnam,Putnam,Local,Central
,29.50926,-81.94113,Orange Springs,FL,32182,Florida,Marion,Marion|Putnam,Local,Central
,29.57827,-81.55392,San Mateo,FL,32187,Florida,Putnam,Putnam,Local,Central
,29.54991,-81.64819,Satsuma,FL,32189,Florida,Putnam,Putnam,Local,Central
,29.33289,-81.49056,Seville,FL,32190,Florida,Volusia,Volusia,Local,Central
,29.35005,-82.11109,Sparr,FL,32192,Florida,Marion,Marion,Local,Central
,29.47605,-81.6647,Welaka,FL,32193,Florida,Putnam,Putnam,Local,Central
,28.9854,-81.89814,Weirsdale,FL,32195,Florida,Marion,Marion|Lake,Local,Central
,30.32505,-81.64786,Jacksonville,FL,32202,Florida,Duval,Duval,Local,Central
,30.33702,-81.67129,Jacksonville,FL,32203,Florida,Duval,Duval,Local,Central
,30.31636,-81.68095,Jacksonville,FL,32204,Florida,Duval,Duval,Local,Central
,30.30275,-81.72257,Jacksonville,FL,32205,Florida,Duval,Duval,Local,Central
,30.35069,-81.63865,Jacksonville,FL,32206,Florida,Duval,Duval,Local,Central
,30.29,-81.64018,Jacksonville,FL,32207,Florida,Duval,Duval,Local,Central
,30.39351,-81.68245,Jacksonville,FL,32208,Florida,Duval,Duval,Local,Central
,30.36141,-81.69573,Jacksonville,FL,32209,Florida,Duval,Duval,Local,Central
,30.26491,-81.74746,Jacksonville,FL,32210,Florida,Duval,Duval,Local,Central
,30.33276,-81.58428,Jacksonville,FL,32211,Florida,Duval,Duval,Local,Central
,30.21916,-81.67869,Jacksonville,FL,32212,Florida,Duval,Duval,Local,Central
,30.27891,-81.58305,Jacksonville,FL,32216,Florida,Duval,Duval,Local,Central
,30.2394,-81.62722,Jacksonville,FL,32217,Florida,Duval,Duval,Local,Central
,30.48673,-81.66959,Jacksonville,FL,32218,Florida,Duval,Duval,Local,Central
,30.41815,-81.81367,Jacksonville,FL,32219,Florida,Duval,Duval,Local,Central
,30.33693,-81.85335,Jacksonville,FL,32220,Florida,Duval,Duval,Local,Central
,30.26043,-81.86764,Jacksonville,FL,32221,Florida,Duval,Duval,Local,Central
,30.21651,-81.8293,Jacksonville,FL,32222,Florida,Duval,Duval,Local,Central
,30.1549,-81.64821,Jacksonville,FL,32223,Florida,Duval,Duval,Local,Central
,30.26815,-81.4642,Jacksonville,FL,32224,Florida,Duval,Duval|St. Johns,Local,Central
,30.35768,-81.50592,Jacksonville,FL,32225,Florida,Duval,Duval,Local,Central
,30.46444,-81.50999,Jacksonville,FL,32226,Florida,Duval,Duval,Local,Central
,30.38792,-81.40571,Jacksonville,FL,32227,Florida,Duval,Duval,Local,Central
,30.39158,-81.40022,Jacksonville,FL,32228,Florida,Duval,Duval,Local,Central
,30.35943,-81.42098,Atlantic Beach,FL,32233,Florida,Duval,Duval,Local,Central
,30.20784,-82.01096,Jacksonville,FL,32234,Florida,Duval,Duval|Clay|Baker|Nassau,Local,Central
,30.2171,-81.75384,Jacksonville,FL,32244,Florida,Duval,Duval,Local,Central
,30.29422,-81.51782,Jacksonville,FL,32246,Florida,Duval,Duval,Local,Central
,30.27846,-81.41035,Jacksonville Beach,FL,32250,Florida,Duval,Duval,Local,Central
,30.34164,-81.73549,Jacksonville,FL,32254,Florida,Duval,Duval,Local,Central
